# CLASS BRICK 

90	512	752	90	5	7
90	512	768	90	5	7
90	512	784	90	5	7
90	512	800	90	5	8

90	528	752	90	5	7
90	528	768	90	5	7
90	528	800	90	5	8

90	544	752	90	5	7
90	544	800	90	5	8

90	560	768	90	5	7

90	576	768	90	5	7
90	576	784	90	5	7

90	592	736	90	5	7
90	592	752	90	5	7
90	592	784	90	5	7

90	608	736	90	6	7
90	608	752	90	6	7
90	608	784	90	6	7
90	608	800	90	6	8

90	624	736	90	6	7
90	624	784	90	6	7
90	624	800	90	6	8

90	640	736	90	6	7
90	640	752	90	6	7
90	640	784	90	6	7
90	640	800	90	6	8



90	1984	400	90	19	4
90	2000	400	90	20	4
90	2016	400	90	20	4
90	2032	400	90	20	4
90	2048	400	90	20	4
90	1968	384	90	19	3
90	1984	384	90	19	3
90	2000	384	90	20	3
90	2016	384	90	20	3
90	2032	384	90	20	3
90	1984	368	90	19	3
90	2000	368	90	20	3
90	2016	368	90	20	3

90	2096	400	90	20	4
90	2112	400	90	21	4
90	2096	384	90	20	3
