[INITIAL]
100	100	30	30
[GRIDENEMIES]
# **** GOOMBA ****
#3	720	384	4	7	3	0
#3	1008	384	4	10	3	0
#3	100	200	4	2	4	0
#3	545	400	4	2	4	1

# **** KOOPA ****
2	576	352	6	5	3	0
#2	2096	352	6	20	3	0
#2	1328	293	6	13	2	2
#2	1376	293	6	13	2	2
#2	1425	293	6	14	2	2
#2	1441	389	6	14	3	1

[OBJECTITEM]
#13	0	416	13	0	4	1
2	0	416	11	0	4	1
2	16	416	11	0	4	1
2	32	416	11	0	4	1
2	48	416	11	0	4	1
2	64	416	11	0	4	1
2	80	416	11	0	4	1
2	96	416	11	0	4	1
2	112	416	11	1	4	1
2	128	416	11	1	4	1
2	144	416	11	1	4	1
2	160	416	11	1	4	1
2	176	416	11	1	4	1
2	192	416	11	1	4	1
2	208	416	11	2	4	1
2	224	416	11	2	4	1
2	240	416	11	2	4	1
2	256	416	11	2	4	1
2	272	416	11	2	4	1
2	288	416	11	2	4	1
2	304	416	11	3	4	1
2	320	416	11	3	4	1
2	336	416	11	3	4	1
2	352	416	11	3	4	1
2	368	416	11	3	4	1
2	384	416	11	3	4	1
2	400	416	11	4	4	1
2	416	416	11	4	4	1
2	432	416	11	4	4	1
2	448	416	11	4	4	1
2	464	416	11	4	4	1
2	480	416	11	4	4	1
2	496	416	11	4	4	1
2	512	416	11	5	4	1
2	528	416	11	5	4	1
2	544	416	11	5	4	1
2	560	416	11	5	4	1
2	576	416	11	5	4	1
2	592	416	11	5	4	1
2	608	416	11	6	4	1

#13	624	400	13	6	4	1
2	624	400	11	6	4	1
2	640	400	11	6	4	1
2	656	400	11	6	4	1
2	672	400	11	6	4	1
2	688	400	11	6	4	1
2	704	400	11	7	4	1
2	720	400	11	7	4	1
2	736	400	11	7	4	1
2	752	400	11	7	4	1
2	768	400	11	7	4	1
2	784	400	11	7	4	1
2	800	400	11	8	4	1
2	816	400	11	8	4	1
2	832	400	11	8	4	1
2	848	400	11	8	4	1
2	864	400	11	8	4	1
2	880	400	11	8	4	1
2	896	400	11	8	4	1
2	912	400	11	9	4	1
2	928	400	11	9	4	1
2	944	400	11	9	4	1
2	960	400	11	9	4	1
2	976	400	11	9	4	1
2	992	400	11	9	4	1
2	1008	400	11	10	4	1
2	1024	400	11	10	4	1
2	1040	400	11	10	4	1
2	1056	400	11	10	4	1
